CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment,AOV,Lifespan_Score,CLV
12456,44,3,2581.04,3,3,5,Loyal Customers,860.3466666666667,321,2269.9009315068492
12457,66,6,2043.23,3,5,5,Loyal Customers,340.53833333333336,299,1673.7692328767123
12458,71,2,787.4,3,2,3,Lost,393.7,294,634.2345205479452
12461,155,1,626.88,2,1,3,Lost,626.88,210,360.6706849315068
12462,19,2,937.59,4,2,4,Lost,468.795,346,888.7839452054794
12463,53,4,1200.78,3,4,4,Loyal Customers,300.195,312,1026.4201643835618
12464,10,8,957.05,5,5,4,Champions,119.63125,355,930.8294520547945
12465,17,2,682.19,4,2,3,Lost,341.095,348,650.4167671232877
12468,188,2,657.5400000000001,1,2,3,At Risk,328.77000000000004,177,318.86186301369867
12471,2,27,17388.65,5,5,5,Champions,644.0240740740742,363,17293.3697260274
12472,32,7,6068.11,4,5,5,Champions,866.8728571428571,333,5536.111315068493
12473,54,3,2585.73,3,3,5,Loyal Customers,861.91,311,2203.1836438356167
12474,17,18,6694.09,4,5,5,Champions,371.8938888888889,348,6382.310465753425
12475,54,1,669.38,3,1,3,Lost,669.38,311,570.3484383561644
12476,16,11,5898.42,4,5,5,Champions,536.22,349,5639.859123287671
12477,23,6,13219.74,4,5,5,Champions,2203.29,342,12386.715287671233
12478,4,1,545.99,5,1,3,Lost,545.99,361,540.0065479452055
12479,11,1,473.2,5,1,2,Lost,473.2,354,458.9391780821918
12480,28,4,2885.63,4,4,5,Champions,721.4075,337,2664.2666027397263
12481,23,10,5003.82,4,5,5,Champions,500.38199999999995,342,4688.510794520548
12483,17,8,1910.98,4,5,4,Champions,238.8725,348,1821.9754520547945
12484,35,4,3939.32,3,4,5,Loyal Customers,984.83,330,3561.5769863013697
12488,10,3,1244.66,5,3,4,Loyal Customers,414.8866666666667,355,1210.5597260273973
12489,336,1,298.93,1,1,2,Lost,298.93,29,23.75060273972603
12490,5,10,4859.93,5,5,5,Champions,485.99300000000005,360,4793.355616438356
12491,39,1,424.4,3,1,2,Lost,424.4,326,379.0531506849315
12492,63,2,227.21,3,2,1,Lost,113.605,302,187.99293150684935
12493,166,2,379.74,2,2,2,At Risk,189.87,199,207.03632876712328
12494,16,7,1084.1,4,5,4,Champions,154.87142857142857,349,1036.577808219178
12497,82,1,953.1,2,1,4,Lost,953.1,283,738.978904109589
12498,21,3,349.70000000000005,4,3,2,Loyal Customers,116.56666666666668,344,329.5802739726028
12500,23,11,4059.82,4,5,5,Champions,369.07454545454544,342,3803.9957260273973
12501,337,1,2025.39,1,1,4,Lost,2025.39,28,155.37238356164386
12502,96,5,2995.87,2,4,5,Loyal Customers,599.174,269,2207.915150684931
12504,18,2,428.05,4,2,2,Lost,214.025,347,406.94068493150684
12506,233,1,73.5,1,1,1,Lost,73.5,132,26.58082191780822
12507,134,3,1052.81,2,3,4,Loyal Customers,350.93666666666667,231,666.2989315068493
12508,26,2,397.88,4,2,2,Lost,198.94,339,369.5378630136986
12509,284,1,158.5,1,1,1,Lost,158.5,81,35.173972602739724
12510,143,2,814.5699999999999,2,2,3,At Risk,407.28499999999997,222,495.43709589041094
12512,66,2,132.18,3,2,1,Lost,66.09,299,108.27895890410959
12513,113,1,558.29,2,1,3,Lost,558.29,252,385.44953424657535
12514,267,1,1017.68,1,1,4,Lost,1017.68,98,273.2401095890411
12515,353,1,278.7,1,1,2,Lost,278.7,12,9.162739726027397
12516,78,2,1186.06,2,2,4,At Risk,593.03,287,932.600602739726
12517,28,4,2301.6,4,4,5,Champions,575.4,337,2125.038904109589
12518,1,5,1840.89,5,4,4,Champions,368.178,364,1835.8464657534246
12519,64,1,276.84000000000003,3,1,2,Lost,276.84000000000003,301,228.29819178082195
12520,79,5,2346.26,2,4,5,Loyal Customers,469.25200000000007,286,1838.4393424657535
12521,143,1,545.68,2,1,3,Lost,545.68,222,331.8930410958904
12522,39,2,156.72,3,2,1,Lost,78.36,326,139.97457534246576
12523,19,11,1699.77,4,5,4,Champions,154.52454545454546,346,1611.2888219178083
12524,9,8,3945.72,5,5,5,Champions,493.215,356,3848.4282739726027
12526,1,3,1172.66,5,3,4,Loyal Customers,390.8866666666667,364,1169.4472328767124
12527,82,3,330.71000000000004,2,3,2,Loyal Customers,110.23666666666668,283,256.4135068493151
12528,9,6,1645.48,5,5,4,Champions,274.24666666666667,356,1604.9065205479453
12530,60,4,1500.28,3,4,4,Loyal Customers,375.07,305,1253.6586301369864
12531,15,1,125.22,4,1,1,Lost,125.22,350,120.07397260273972
12532,30,1,313.83000000000004,4,1,2,Lost,313.83000000000004,335,288.03575342465757
12534,131,1,981.18,2,1,4,Lost,981.18,234,629.0304657534247
12535,92,2,716.35,2,2,3,At Risk,358.175,273,535.7905479452055
12536,59,1,4279.71,3,1,5,Lost,4279.71,306,3587.9212602739726
12538,29,1,363.95,4,1,2,Lost,363.95,336,335.0334246575342
12539,22,4,5568.35,4,4,5,Champions,1392.0875,343,5232.723424657534
12540,20,17,11580.24,4,5,5,Champions,681.1905882352941,345,10945.706301369863
12541,30,3,841.18,4,3,3,Loyal Customers,280.3933333333333,335,772.0419178082192
12544,36,1,316.7,3,1,2,Lost,316.7,329,285.46383561643836
12545,75,2,832.39,2,2,3,At Risk,416.195,290,661.3509589041096
12546,47,2,1021.5,3,2,4,Lost,510.75,318,889.9643835616438
12547,198,2,151.8,1,2,1,At Risk,75.9,167,69.453698630137
12548,166,1,67.19999999999999,2,1,1,Lost,67.19999999999999,199,36.637808219178076
12550,79,1,824.83,2,1,3,Lost,824.83,286,646.3051506849315
12551,358,1,168.0,1,1,1,Lost,168.0,7,3.221917808219178
12552,40,1,317.82,3,1,2,Lost,317.82,325,282.9904109589041
12553,8,10,3278.28,5,5,5,Champions,327.82800000000003,357,3206.427287671233
12556,50,2,599.56,3,2,3,Lost,299.78,315,517.4284931506849
12557,16,5,11990.96,4,4,5,Champions,2398.192,349,11465.328876712327
12558,8,1,269.96,5,1,2,Lost,269.96,357,264.04306849315066
12559,311,2,525.71,1,2,3,At Risk,262.855,54,77.77627397260275
12560,5,2,1918.01,5,2,4,Lost,959.005,360,1891.7358904109587
12561,303,1,238.85,1,1,1,Lost,238.85,62,40.571780821917805
12562,8,7,3385.74,5,5,5,Champions,483.6771428571428,357,3311.5319999999997
12564,261,1,402.9,1,1,2,Lost,402.9,104,114.79890410958903
12565,289,1,145.92000000000002,1,1,1,Lost,145.92000000000002,76,30.38334246575343
12566,86,1,297.65,2,1,2,Lost,297.65,279,227.51876712328763
12567,23,10,8609.28,4,5,5,Champions,860.9280000000001,342,8066.777424657535
12569,2,32,3152.69,5,5,5,Champions,98.5215625,363,3135.41498630137
12571,40,2,519.61,3,2,3,Lost,259.805,325,462.6664383561644
12572,9,2,912.42,5,2,3,Lost,456.21,356,889.9219726027396
12573,227,1,160.54000000000002,1,1,1,Lost,160.54000000000002,138,60.69731506849316
12574,316,1,182.45,1,1,1,Lost,182.45,49,24.493287671232874
12576,36,5,1315.83,3,4,4,Loyal Customers,263.166,329,1186.0495068493149
12577,35,3,622.65,3,3,3,Loyal Customers,207.54999999999998,330,562.9438356164383
12578,21,2,2402.51,4,2,5,Lost,1201.255,344,2264.2833972602743
12579,78,1,386.42,2,1,2,Lost,386.42,287,303.84257534246575
12580,247,1,379.7,1,1,2,Lost,379.7,118,122.75232876712329
12581,40,1,179.71,3,1,1,Lost,179.71,325,160.01575342465753
12582,239,2,351.36,1,2,2,At Risk,175.68,126,121.29139726027398
12583,3,15,6705.38,5,5,5,Champions,447.0253333333333,362,6650.267287671233
12584,4,9,2254.15,5,5,5,Champions,250.4611111111111,361,2229.44698630137
12585,234,2,1824.1,1,2,4,At Risk,912.05,131,654.6769863013699
12586,17,1,196.94000000000003,4,1,1,Lost,196.94000000000003,348,187.76745205479455
12587,8,1,104.0,5,1,1,Lost,104.0,357,101.72054794520548
12588,39,1,174.89999999999998,3,1,1,Lost,174.89999999999998,326,156.21205479452053
12589,29,2,574.68,4,2,3,Lost,287.34,336,529.0204931506848
12590,211,1,9341.26,1,1,5,Lost,9341.26,154,3941.2439452054796
12591,317,1,368.85,1,1,2,Lost,368.85,48,48.50630136986301
12592,92,2,401.6,2,2,2,At Risk,200.8,273,300.374794520548
12593,109,3,382.1,2,3,2,Loyal Customers,127.36666666666667,256,267.99342465753426
12594,38,9,3208.2200000000003,3,5,5,Loyal Customers,356.4688888888889,327,2874.2135342465754
12596,51,2,450.27,3,2,2,Lost,225.135,314,387.3555616438356
12597,19,4,3195.22,4,4,5,Champions,798.805,346,3028.8934794520546
12598,10,7,2807.08,5,5,5,Champions,401.01142857142855,355,2730.173698630137
12599,29,7,888.58,4,5,3,Champions,126.94000000000001,336,817.980493150685
12600,29,10,2311.04,4,5,5,Champions,231.10399999999998,336,2127.4231232876714
12601,190,5,487.06,1,4,3,Loyal Customers,97.412,175,233.5219178082192
12602,59,1,153.12,3,1,1,Lost,153.12,306,128.36909589041096
12603,22,1,613.1999999999999,4,1,3,Lost,613.1999999999999,343,576.2399999999999
12604,79,2,236.18,2,2,1,At Risk,118.09,286,185.06158904109589
12607,60,1,1579.51,3,1,4,Lost,1579.51,305,1319.8645205479452
12609,78,3,964.85,2,3,4,Loyal Customers,321.6166666666667,287,758.6628767123287
12610,23,4,1747.54,4,4,4,Champions,436.885,342,1637.4210410958904
12611,52,1,1193.32,3,1,4,Lost,1193.32,313,1023.3127671232877
12612,74,1,668.04,2,1,3,Lost,668.04,291,532.6017534246574
12613,57,4,3092.38,3,4,5,Loyal Customers,773.095,308,2609.460383561644
12614,278,1,315.6,1,1,2,Lost,315.6,87,75.22520547945206
12615,2,4,2093.19,5,4,5,Champions,523.2975,363,2081.720465753425
12616,95,2,641.3,2,2,3,At Risk,320.65,270,474.38630136986296
12617,29,1,352.98,4,1,2,Lost,352.98,336,324.93501369863014
12618,22,1,137.31,4,1,1,Lost,137.31,343,129.03378082191782
12619,16,8,2945.56,4,5,5,Champions,368.195,349,2816.4395616438355
12620,15,3,1303.41,4,3,4,Loyal Customers,434.47,350,1249.845205479452
12621,2,20,12411.67,5,5,5,Champions,620.5835,363,12343.660849315067
12622,232,1,162.1,1,1,1,Lost,162.1,133,59.066575342465754
12623,276,1,269.1,1,1,2,Lost,269.1,89,65.61616438356165
12624,106,2,569.13,2,2,3,At Risk,284.565,259,403.8484109589041
12625,212,2,2413.82,1,2,5,At Risk,1206.91,153,1011.8204383561645
12626,23,9,5954.4800000000005,4,5,5,Champions,661.6088888888889,342,5579.266191780823
12627,11,6,4082.53,5,5,5,Champions,680.4216666666667,354,3959.494849315069
12628,4,3,732.46,5,3,3,Loyal Customers,244.15333333333334,361,724.4330410958905
12630,10,2,1030.88,5,2,4,Lost,515.44,355,1002.6367123287672
12631,57,1,480.5,3,1,2,Lost,480.5,308,405.4630136986301
12633,59,4,1929.98,3,4,4,Loyal Customers,482.495,306,1618.0106301369863
12635,90,2,1509.18,2,2,4,At Risk,754.59,275,1137.0534246575344
12637,67,8,5804.9,3,5,5,Loyal Customers,725.6125,298,4739.34301369863
12638,33,1,511.69,4,1,3,Lost,511.69,332,465.42761643835615
12639,239,1,366.1,1,1,2,Lost,366.1,126,126.37972602739728
12640,24,3,994.58,4,3,4,Loyal Customers,331.5266666666667,341,929.1829589041098
12641,115,1,145.9,2,1,1,Lost,145.9,250,99.93150684931507
12642,25,3,905.26,4,3,3,Loyal Customers,301.75333333333333,340,843.2558904109588
12643,128,6,3041.64,2,5,5,Loyal Customers,506.94,237,1974.9826849315068
12644,130,1,477.91,2,1,2,Lost,477.91,235,307.6954794520548
12645,34,4,1631.18,3,4,4,Loyal Customers,407.795,331,1479.2344657534247
12646,5,2,1346.97,5,2,4,Lost,673.485,360,1328.5183561643835
12647,22,12,3146.82,4,5,5,Champions,262.235,343,2957.148657534247
12648,155,1,300.05,2,1,2,Lost,300.05,210,172.63150684931506
12649,107,3,569.51,2,3,3,Loyal Customers,189.83666666666667,258,402.5577534246575
12650,3,1,242.44,5,1,1,Lost,242.44,362,240.44734246575342
12651,335,1,114.0,1,1,1,Lost,114.0,30,9.36986301369863
12652,331,1,793.98,1,1,3,Lost,793.98,34,73.95978082191782
12653,149,2,2209.85,2,2,5,At Risk,1104.925,216,1307.7468493150684
12654,11,5,529.98,5,4,3,Champions,105.99600000000001,354,514.008
12656,17,5,3619.17,4,4,5,Champions,723.8340000000001,348,3450.605917808219
12657,11,4,1427.18,5,4,4,Champions,356.795,354,1384.169095890411
12658,19,1,632.05,4,1,3,Lost,632.05,346,599.1487671232876
12659,30,1,73.67999999999999,4,1,1,Lost,73.67999999999999,335,67.62410958904108
12660,11,1,227.1,5,1,1,Lost,227.1,354,220.2558904109589
12662,1,11,3543.78,5,5,5,Champions,322.1618181818182,364,3534.0710136986304
12664,8,9,4391.88,5,5,5,Champions,487.9866666666667,357,4295.619616438356
12665,325,1,45.0,1,1,1,Lost,45.0,40,4.931506849315069
12667,58,1,460.13,3,1,2,Lost,460.13,307,387.0134520547945
12668,12,4,3177.15,5,4,5,Champions,794.2875,353,3072.6957534246576
12669,151,2,1427.73,2,2,4,At Risk,713.865,214,837.0800547945206
12670,10,5,2744.05,5,4,5,Champions,548.8100000000001,355,2668.8705479452055
12672,330,1,225.9,1,1,1,Lost,225.9,35,21.661643835616438
12673,5,2,574.52,5,2,3,Lost,287.26,360,566.6498630136986
12674,39,4,1844.6,3,4,4,Loyal Customers,461.15,326,1647.5057534246575
12676,25,6,1091.39,4,5,4,Champions,181.89833333333334,340,1016.6372602739726
12678,42,9,16331.46,3,5,5,Loyal Customers,1814.6066666666666,323,14452.223506849316
12679,59,4,951.02,3,4,4,Loyal Customers,237.755,306,797.2934794520547
12680,1,4,790.81,5,4,3,Champions,197.7025,364,788.6433972602739
12681,15,22,12365.54,4,5,5,Champions,562.07,350,11857.367123287671
12682,4,31,11019.82,5,5,5,Champions,355.478064516129,361,10899.054849315069
12683,4,14,7612.57,5,5,5,Champions,543.755,361,7529.144575342466
12684,8,6,2073.63,5,5,5,Champions,345.605,357,2028.1805753424658
12685,28,6,2575.08,4,5,5,Champions,429.18,337,2377.539616438356
12686,372,1,71.14,1,1,1,Lost,71.14,-7,-1.3643287671232878
12688,114,1,4873.81,2,1,5,Lost,4873.81,251,3351.578931506849
12689,26,2,1139.61,4,2,4,Lost,569.805,339,1058.432301369863
12690,206,1,335.01,1,1,2,Lost,335.01,159,145.93586301369862
12691,28,5,927.8,4,4,4,Champions,185.56,337,856.626301369863
12693,127,4,711.91,2,4,3,Loyal Customers,177.9775,238,464.20432876712323
12694,70,2,761.67,3,2,3,Lost,380.835,295,615.596301369863
12695,7,4,582.1,5,4,3,Champions,145.525,358,570.9364383561643
12697,29,3,757.59,4,3,3,Loyal Customers,252.53,336,697.3979178082192
12700,8,4,4525.99,5,4,5,Champions,1131.4975,357,4426.790219178082
12701,80,2,725.71,2,2,3,At Risk,362.855,285,566.6502739726028
12702,20,1,201.0,4,1,1,Lost,201.0,345,189.986301369863
12703,71,1,265.55,3,1,2,Lost,265.55,294,213.8950684931507
12704,7,8,1740.84,5,5,4,Champions,217.605,358,1707.4540273972602
12705,15,8,6382.29,4,5,5,Champions,797.78625,350,6120.004109589041
12707,292,1,603.42,1,1,3,Lost,603.42,73,120.684
12708,30,10,2442.91,4,5,5,Champions,244.291,335,2242.1228767123284
12709,15,15,9400.52,4,5,5,Champions,626.7013333333333,350,9014.197260273973
12710,97,3,1023.02,2,3,4,Loyal Customers,341.00666666666666,268,751.1489315068493
12712,29,13,3928.13,4,5,5,Champions,302.1638461538462,336,3616.032
12713,1,1,794.55,5,1,3,Lost,794.55,364,792.3731506849315
12714,9,5,4294.86,5,4,5,Champions,858.972,356,4188.959342465753
12715,106,1,263.36,2,1,2,Lost,263.36,259,186.8773698630137
12716,4,2,963.49,5,2,4,Lost,481.745,361,952.9312054794522
12717,151,2,830.98,2,2,3,At Risk,415.49,214,487.2047123287672
12718,71,1,202.25,3,1,1,Lost,202.25,294,162.9082191780822
12719,5,2,572.95,5,2,3,Lost,286.475,360,565.1013698630137
12720,3,25,5115.73,5,5,5,Champions,204.62919999999997,362,5073.682904109589
12721,32,6,2386.13,4,5,5,Champions,397.68833333333333,333,2176.9350410958905
12722,85,4,979.63,2,4,4,Loyal Customers,244.9075,280,751.4969863013698
12723,4,5,707.07,5,4,3,Champions,141.41400000000002,361,699.321287671233
12724,5,4,923.41,5,4,4,Champions,230.8525,360,910.7605479452054
12725,371,1,371.8,1,1,2,Lost,371.8,-6,-6.111780821917808
12726,28,7,2411.1,4,5,5,Champions,344.4428571428571,337,2226.138904109589
12727,11,7,3440.7000000000003,5,5,5,Champions,491.52857142857147,354,3337.007671232877
12728,71,4,728.33,3,4,3,Loyal Customers,182.0825,294,586.6548493150685
12729,114,1,417.01,2,1,2,Lost,417.01,251,286.76578082191776
12731,24,12,18751.91,4,5,5,Champions,1562.6591666666666,341,17518.907698630137
12732,180,1,218.26,1,1,1,Lost,218.26,185,110.62493150684932
12733,234,1,383.95,1,1,2,Lost,383.95,131,137.80123287671233
12734,353,1,110.4,1,1,1,Lost,110.4,12,3.6295890410958904
12735,315,2,689.5699999999999,1,2,3,At Risk,344.78499999999997,50,94.46164383561643
12736,333,1,144.0,1,1,1,Lost,144.0,32,12.624657534246575
12738,372,1,137.35,1,1,1,Lost,137.35,-7,-2.634109589041096
12739,99,1,975.54,2,1,4,Lost,975.54,266,710.9414794520548
12740,64,1,427.6,3,1,2,Lost,427.6,301,352.62356164383567
12743,134,2,540.13,2,2,3,At Risk,270.065,231,341.83569863013696
12744,56,4,9120.39,3,4,5,Loyal Customers,2280.0975,309,7721.097287671232
12747,2,11,4196.01,5,5,5,Champions,381.4554545454546,363,4173.018164383562
12748,1,206,31650.78,5,5,5,Champions,153.6445631067961,364,31564.065534246576
12749,4,5,4040.88,5,4,5,Champions,808.176,361,3996.596383561644
12750,129,1,275.88,2,1,2,Lost,275.88,236,178.37720547945204
12752,81,1,4366.78,2,1,5,Lost,4366.78,284,3397.7137534246576
12753,23,6,21429.39,4,5,5,Champions,3571.565,342,20079.04487671233
12754,236,3,3010.74,1,3,5,Loyal Customers,1003.5799999999999,129,1064.0697534246574
12755,281,2,3811.95,1,2,5,At Risk,1905.975,84,877.2706849315068
12756,87,1,112.08,2,1,1,Lost,112.08,278,85.3650410958904
12757,16,9,4176.75,4,5,5,Champions,464.0833333333333,349,3993.659589041096
12758,117,2,2791.59,2,2,5,At Risk,1395.795,248,1896.7515616438357
12759,52,3,1411.44,3,3,4,Loyal Customers,470.48,313,1210.3581369863014
12762,8,2,1702.52,5,2,4,Lost,851.26,357,1665.2044931506848
12763,138,2,494.08,2,2,3,At Risk,247.04,227,307.2771506849315
12764,317,1,1693.88,1,1,4,Lost,1693.88,48,222.75682191780822
12766,4,7,6457.63,5,5,5,Champions,922.5185714285715,361,6386.861452054795
12769,239,1,1143.6,1,1,4,Lost,1143.6,126,394.77698630136985
12770,211,1,1351.45,1,1,4,Lost,1351.45,154,570.2008219178082
12772,60,1,752.47,3,1,3,Lost,752.47,305,628.7763013698631
12775,17,5,1281.04,4,4,4,Champions,256.20799999999997,348,1221.3751232876712
12778,20,6,693.23,4,5,3,Champions,115.53833333333334,345,655.244794520548
12779,38,8,3981.36,3,5,5,Loyal Customers,497.67,327,3566.8622465753424
12781,64,2,786.74,3,2,3,Lost,393.37,301,648.7910684931508
12782,5,5,1938.92,5,4,4,Champions,387.784,360,1912.3594520547945
12783,2,4,1295.87,5,4,4,Champions,323.9675,363,1288.7693424657534
12784,15,1,476.82,4,1,2,Lost,476.82,350,457.22465753424655
12785,364,1,255.95,1,1,2,Lost,255.95,1,0.7012328767123287
12787,10,3,418.66,5,3,2,Loyal Customers,139.55333333333334,355,407.18986301369864
12789,65,1,76.85,3,1,1,Lost,76.85,300,63.16438356164383
12790,192,1,294.92,1,1,2,Lost,294.92,173,139.78400000000002
12791,374,1,177.60000000000002,1,1,1,Lost,177.60000000000002,-9,-4.379178082191781
12792,257,1,344.54,1,1,2,Lost,344.54,108,101.94608219178083
12793,335,2,461.48,1,2,2,At Risk,230.74,30,37.92986301369863
12794,53,2,860.41,3,2,3,Lost,430.205,312,735.4737534246575
12795,19,1,318.48,4,1,2,Lost,318.48,346,301.9015890410959
12797,366,1,226.03,1,1,1,Lost,226.03,-1,-0.6192602739726027
12798,10,3,6977.04,5,3,5,Loyal Customers,2325.68,355,6785.888219178081
12802,187,1,397.58,1,1,2,Lost,397.58,178,193.88832876712328
12808,37,3,455.65,3,3,2,Loyal Customers,151.88333333333333,328,409.4608219178082
12809,178,1,405.31,2,1,2,Lost,405.31,187,207.65197260273973
