Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,AOV,Purchase_Frequency,Lifespan_Score,CLV
23,6,13219.74,4,5,5,455,Champions,2203.29,6,342,12386.715287671233
4,1,545.99,5,1,3,513,Potential Loyalists,545.99,1,361,540.0065479452055
11,1,473.2,5,1,2,512,Potential Loyalists,473.2,1,354,458.9391780821918
28,4,2885.63,4,4,5,445,Champions,721.4075,4,337,2664.2666027397263
23,10,5003.82,4,5,5,455,Champions,500.38199999999995,10,342,4688.510794520548
17,8,1910.98,4,5,4,454,Champions,238.8725,8,348,1821.9754520547945
35,4,3939.32,3,4,5,345,Loyal Customers,984.83,4,330,3561.5769863013697
10,3,1244.66,5,3,4,534,Need Attention,414.8866666666667,3,355,1210.5597260273973
336,1,298.93,1,1,2,112,Lost,298.93,1,29,23.75060273972603
5,10,4859.93,5,5,5,555,Champions,485.99300000000005,10,360,4793.355616438356
39,1,424.4,3,1,2,312,Need Attention,424.4,1,326,379.0531506849315
63,2,227.21,3,2,1,321,Need Attention,113.605,2,302,187.99293150684935
166,2,379.74,2,2,2,222,Lost,189.87,2,199,207.03632876712328
16,7,1084.1,4,5,4,454,Champions,154.87142857142857,7,349,1036.577808219178
82,1,953.1,2,1,4,214,Lost,953.1,1,283,738.978904109589
21,3,349.70000000000005,4,3,2,432,Need Attention,116.56666666666668,3,344,329.5802739726028
23,11,4059.82,4,5,5,455,Champions,369.07454545454544,11,342,3803.9957260273973
337,1,2025.39,1,1,4,114,Lost,2025.39,1,28,155.37238356164386
96,5,2995.87,2,4,5,245,Loyal Customers,599.174,5,269,2207.915150684931
18,2,428.05,4,2,2,422,Potential Loyalists,214.025,2,347,406.94068493150684
233,1,73.5,1,1,1,111,Lost,73.5,1,132,26.58082191780822
134,3,1052.81,2,3,4,234,At Risk,350.93666666666667,3,231,666.2989315068493
26,2,397.88,4,2,2,422,Potential Loyalists,198.94,2,339,369.5378630136986
284,1,158.5,1,1,1,111,Lost,158.5,1,81,35.173972602739724
143,2,814.5699999999999,2,2,3,223,Lost,407.28499999999997,2,222,495.43709589041094
66,2,132.18,3,2,1,321,Need Attention,66.09,2,299,108.27895890410959
113,1,558.29,2,1,3,213,Lost,558.29,1,252,385.44953424657535
267,1,1017.68,1,1,4,114,Lost,1017.68,1,98,273.2401095890411
353,1,278.7,1,1,2,112,Lost,278.7,1,12,9.162739726027397
78,2,1186.06,2,2,4,224,Lost,593.03,2,287,932.600602739726
28,4,2301.6,4,4,5,445,Champions,575.4,4,337,2125.038904109589
1,5,1840.89,5,4,4,544,Champions,368.178,5,364,1835.8464657534246
64,1,276.84000000000003,3,1,2,312,Need Attention,276.84000000000003,1,301,228.29819178082195
79,5,2346.26,2,4,5,245,Loyal Customers,469.25200000000007,5,286,1838.4393424657535
143,1,545.68,2,1,3,213,Lost,545.68,1,222,331.8930410958904
39,2,156.72,3,2,1,321,Need Attention,78.36,2,326,139.97457534246576
19,11,1699.77,4,5,4,454,Champions,154.52454545454546,11,346,1611.2888219178083
9,8,3945.72,5,5,5,555,Champions,493.215,8,356,3848.4282739726027
1,3,1172.66,5,3,4,534,Need Attention,390.8866666666667,3,364,1169.4472328767124
82,3,330.71000000000004,2,3,2,232,At Risk,110.23666666666668,3,283,256.4135068493151
9,6,1645.48,5,5,4,554,Champions,274.24666666666667,6,356,1604.9065205479453
60,4,1500.28,3,4,4,344,Loyal Customers,375.07,4,305,1253.6586301369864
15,1,125.22,4,1,1,411,Potential Loyalists,125.22,1,350,120.07397260273972
30,1,313.83000000000004,4,1,2,412,Potential Loyalists,313.83000000000004,1,335,288.03575342465757
131,1,981.18,2,1,4,214,Lost,981.18,1,234,629.0304657534247
92,2,716.35,2,2,3,223,Lost,358.175,2,273,535.7905479452055
59,1,4279.71,3,1,5,315,Need Attention,4279.71,1,306,3587.9212602739726
29,1,363.95,4,1,2,412,Potential Loyalists,363.95,1,336,335.0334246575342
22,4,5568.35,4,4,5,445,Champions,1392.0875,4,343,5232.723424657534
20,17,11580.24,4,5,5,455,Champions,681.1905882352941,17,345,10945.706301369863
30,3,841.18,4,3,3,433,Need Attention,280.3933333333333,3,335,772.0419178082192
36,1,316.7,3,1,2,312,Need Attention,316.7,1,329,285.46383561643836
75,2,832.39,2,2,3,223,Lost,416.195,2,290,661.3509589041096
47,2,1021.5,3,2,4,324,Need Attention,510.75,2,318,889.9643835616438
198,2,151.8,1,2,1,121,Lost,75.9,2,167,69.453698630137
166,1,67.19999999999999,2,1,1,211,Lost,67.19999999999999,1,199,36.637808219178076
79,1,824.83,2,1,3,213,Lost,824.83,1,286,646.3051506849315
358,1,168.0,1,1,1,111,Lost,168.0,1,7,3.221917808219178
40,1,317.82,3,1,2,312,Need Attention,317.82,1,325,282.9904109589041
8,10,3278.28,5,5,5,555,Champions,327.82800000000003,10,357,3206.427287671233
50,2,599.56,3,2,3,323,Need Attention,299.78,2,315,517.4284931506849
16,5,11990.96,4,4,5,445,Champions,2398.192,5,349,11465.328876712327
8,1,269.96,5,1,2,512,Potential Loyalists,269.96,1,357,264.04306849315066
311,2,525.71,1,2,3,123,Lost,262.855,2,54,77.77627397260275
5,2,1918.01,5,2,4,524,Potential Loyalists,959.005,2,360,1891.7358904109587
303,1,238.85,1,1,1,111,Lost,238.85,1,62,40.571780821917805
8,7,3385.74,5,5,5,555,Champions,483.6771428571428,7,357,3311.5319999999997
261,1,402.9,1,1,2,112,Lost,402.9,1,104,114.79890410958903
289,1,145.92000000000002,1,1,1,111,Lost,145.92000000000002,1,76,30.38334246575343
86,1,297.65,2,1,2,212,Lost,297.65,1,279,227.51876712328763
23,10,8609.28,4,5,5,455,Champions,860.9280000000001,10,342,8066.777424657535
2,32,3152.69,5,5,5,555,Champions,98.5215625,32,363,3135.41498630137
40,2,519.61,3,2,3,323,Need Attention,259.805,2,325,462.6664383561644
9,2,912.42,5,2,3,523,Potential Loyalists,456.21,2,356,889.9219726027396
227,1,160.54000000000002,1,1,1,111,Lost,160.54000000000002,1,138,60.69731506849316
316,1,182.45,1,1,1,111,Lost,182.45,1,49,24.493287671232874
36,5,1315.83,3,4,4,344,Loyal Customers,263.166,5,329,1186.0495068493149
35,3,622.65,3,3,3,333,Need Attention,207.54999999999998,3,330,562.9438356164383
21,2,2402.51,4,2,5,425,Potential Loyalists,1201.255,2,344,2264.2833972602743
78,1,386.42,2,1,2,212,Lost,386.42,1,287,303.84257534246575
247,1,379.7,1,1,2,112,Lost,379.7,1,118,122.75232876712329
40,1,179.71,3,1,1,311,Need Attention,179.71,1,325,160.01575342465753
239,2,351.36,1,2,2,122,Lost,175.68,2,126,121.29139726027398
3,15,6705.38,5,5,5,555,Champions,447.0253333333333,15,362,6650.267287671233
4,9,2254.15,5,5,5,555,Champions,250.4611111111111,9,361,2229.44698630137
234,2,1824.1,1,2,4,124,Lost,912.05,2,131,654.6769863013699
17,1,196.94000000000003,4,1,1,411,Potential Loyalists,196.94000000000003,1,348,187.76745205479455
8,1,104.0,5,1,1,511,Potential Loyalists,104.0,1,357,101.72054794520548
39,1,174.89999999999998,3,1,1,311,Need Attention,174.89999999999998,1,326,156.21205479452053
29,2,574.68,4,2,3,423,Potential Loyalists,287.34,2,336,529.0204931506848
211,1,9341.26,1,1,5,115,Lost,9341.26,1,154,3941.2439452054796
317,1,368.85,1,1,2,112,Lost,368.85,1,48,48.50630136986301
92,2,401.6,2,2,2,222,Lost,200.8,2,273,300.374794520548
109,3,382.1,2,3,2,232,At Risk,127.36666666666667,3,256,267.99342465753426
38,9,3208.2200000000003,3,5,5,355,Loyal Customers,356.4688888888889,9,327,2874.2135342465754
51,2,450.27,3,2,2,322,Need Attention,225.135,2,314,387.3555616438356
19,4,3195.22,4,4,5,445,Champions,798.805,4,346,3028.8934794520546
10,7,2807.08,5,5,5,555,Champions,401.01142857142855,7,355,2730.173698630137
29,7,888.58,4,5,3,453,Champions,126.94000000000001,7,336,817.980493150685
29,10,2311.04,4,5,5,455,Champions,231.10399999999998,10,336,2127.4231232876714
190,5,487.06,1,4,3,143,Loyal Customers,97.412,5,175,233.5219178082192
59,1,153.12,3,1,1,311,Need Attention,153.12,1,306,128.36909589041096
22,1,613.1999999999999,4,1,3,413,Potential Loyalists,613.1999999999999,1,343,576.2399999999999
79,2,236.18,2,2,1,221,Lost,118.09,2,286,185.06158904109589
60,1,1579.51,3,1,4,314,Need Attention,1579.51,1,305,1319.8645205479452
78,3,964.85,2,3,4,234,At Risk,321.6166666666667,3,287,758.6628767123287
23,4,1747.54,4,4,4,444,Champions,436.885,4,342,1637.4210410958904
52,1,1193.32,3,1,4,314,Need Attention,1193.32,1,313,1023.3127671232877
74,1,668.04,2,1,3,213,Lost,668.04,1,291,532.6017534246574
57,4,3092.38,3,4,5,345,Loyal Customers,773.095,4,308,2609.460383561644
278,1,315.6,1,1,2,112,Lost,315.6,1,87,75.22520547945206
2,4,2093.19,5,4,5,545,Champions,523.2975,4,363,2081.720465753425
95,2,641.3,2,2,3,223,Lost,320.65,2,270,474.38630136986296
29,1,352.98,4,1,2,412,Potential Loyalists,352.98,1,336,324.93501369863014
22,1,137.31,4,1,1,411,Potential Loyalists,137.31,1,343,129.03378082191782
16,8,2945.56,4,5,5,455,Champions,368.195,8,349,2816.4395616438355
15,3,1303.41,4,3,4,434,Need Attention,434.47,3,350,1249.845205479452
2,20,12411.67,5,5,5,555,Champions,620.5835,20,363,12343.660849315067
232,1,162.1,1,1,1,111,Lost,162.1,1,133,59.066575342465754
276,1,269.1,1,1,2,112,Lost,269.1,1,89,65.61616438356165
106,2,569.13,2,2,3,223,Lost,284.565,2,259,403.8484109589041
212,2,2413.82,1,2,5,125,Lost,1206.91,2,153,1011.8204383561645
23,9,5954.4800000000005,4,5,5,455,Champions,661.6088888888889,9,342,5579.266191780823
11,6,4082.53,5,5,5,555,Champions,680.4216666666667,6,354,3959.494849315069
4,3,732.46,5,3,3,533,Need Attention,244.15333333333334,3,361,724.4330410958905
10,2,1030.88,5,2,4,524,Potential Loyalists,515.44,2,355,1002.6367123287672
57,1,480.5,3,1,2,312,Need Attention,480.5,1,308,405.4630136986301
59,4,1929.98,3,4,4,344,Loyal Customers,482.495,4,306,1618.0106301369863
90,2,1509.18,2,2,4,224,Lost,754.59,2,275,1137.0534246575344
67,8,5804.9,3,5,5,355,Loyal Customers,725.6125,8,298,4739.34301369863
33,1,511.69,4,1,3,413,Potential Loyalists,511.69,1,332,465.42761643835615
239,1,366.1,1,1,2,112,Lost,366.1,1,126,126.37972602739728
24,3,994.58,4,3,4,434,Need Attention,331.5266666666667,3,341,929.1829589041098
115,1,145.9,2,1,1,211,Lost,145.9,1,250,99.93150684931507
25,3,905.26,4,3,3,433,Need Attention,301.75333333333333,3,340,843.2558904109588
128,6,3041.64,2,5,5,255,Loyal Customers,506.94,6,237,1974.9826849315068
130,1,477.91,2,1,2,212,Lost,477.91,1,235,307.6954794520548
34,4,1631.18,3,4,4,344,Loyal Customers,407.795,4,331,1479.2344657534247
5,2,1346.97,5,2,4,524,Potential Loyalists,673.485,2,360,1328.5183561643835
22,12,3146.82,4,5,5,455,Champions,262.235,12,343,2957.148657534247
155,1,300.05,2,1,2,212,Lost,300.05,1,210,172.63150684931506
107,3,569.51,2,3,3,233,At Risk,189.83666666666667,3,258,402.5577534246575
3,1,242.44,5,1,1,511,Potential Loyalists,242.44,1,362,240.44734246575342
335,1,114.0,1,1,1,111,Lost,114.0,1,30,9.36986301369863
331,1,793.98,1,1,3,113,Lost,793.98,1,34,73.95978082191782
149,2,2209.85,2,2,5,225,Lost,1104.925,2,216,1307.7468493150684
11,5,529.98,5,4,3,543,Champions,105.99600000000001,5,354,514.008
17,5,3619.17,4,4,5,445,Champions,723.8340000000001,5,348,3450.605917808219
11,4,1427.18,5,4,4,544,Champions,356.795,4,354,1384.169095890411
19,1,632.05,4,1,3,413,Potential Loyalists,632.05,1,346,599.1487671232876
30,1,73.67999999999999,4,1,1,411,Potential Loyalists,73.67999999999999,1,335,67.62410958904108
11,1,227.1,5,1,1,511,Potential Loyalists,227.1,1,354,220.2558904109589
1,11,3543.78,5,5,5,555,Champions,322.1618181818182,11,364,3534.0710136986304
8,9,4391.88,5,5,5,555,Champions,487.9866666666667,9,357,4295.619616438356
325,1,45.0,1,1,1,111,Lost,45.0,1,40,4.931506849315069
58,1,460.13,3,1,2,312,Need Attention,460.13,1,307,387.0134520547945
12,4,3177.15,5,4,5,545,Champions,794.2875,4,353,3072.6957534246576
151,2,1427.73,2,2,4,224,Lost,713.865,2,214,837.0800547945206
10,5,2744.05,5,4,5,545,Champions,548.8100000000001,5,355,2668.8705479452055
330,1,225.9,1,1,1,111,Lost,225.9,1,35,21.661643835616438
5,2,574.52,5,2,3,523,Potential Loyalists,287.26,2,360,566.6498630136986
39,4,1844.6,3,4,4,344,Loyal Customers,461.15,4,326,1647.5057534246575
25,6,1091.39,4,5,4,454,Champions,181.89833333333334,6,340,1016.6372602739726
42,9,16331.46,3,5,5,355,Loyal Customers,1814.6066666666666,9,323,14452.223506849316
59,4,951.02,3,4,4,344,Loyal Customers,237.755,4,306,797.2934794520547
1,4,790.81,5,4,3,543,Champions,197.7025,4,364,788.6433972602739
15,22,12365.54,4,5,5,455,Champions,562.07,22,350,11857.367123287671
4,31,11019.82,5,5,5,555,Champions,355.478064516129,31,361,10899.054849315069
4,14,7612.57,5,5,5,555,Champions,543.755,14,361,7529.144575342466
8,6,2073.63,5,5,5,555,Champions,345.605,6,357,2028.1805753424658
28,6,2575.08,4,5,5,455,Champions,429.18,6,337,2377.539616438356
372,1,71.14,1,1,1,111,Lost,71.14,1,-7,-1.3643287671232878
114,1,4873.81,2,1,5,215,Lost,4873.81,1,251,3351.578931506849
26,2,1139.61,4,2,4,424,Potential Loyalists,569.805,2,339,1058.432301369863
206,1,335.01,1,1,2,112,Lost,335.01,1,159,145.93586301369862
28,5,927.8,4,4,4,444,Champions,185.56,5,337,856.626301369863
127,4,711.91,2,4,3,243,Loyal Customers,177.9775,4,238,464.20432876712323
70,2,761.67,3,2,3,323,Need Attention,380.835,2,295,615.596301369863
7,4,582.1,5,4,3,543,Champions,145.525,4,358,570.9364383561643
29,3,757.59,4,3,3,433,Need Attention,252.53,3,336,697.3979178082192
8,4,4525.99,5,4,5,545,Champions,1131.4975,4,357,4426.790219178082
80,2,725.71,2,2,3,223,Lost,362.855,2,285,566.6502739726028
20,1,201.0,4,1,1,411,Potential Loyalists,201.0,1,345,189.986301369863
71,1,265.55,3,1,2,312,Need Attention,265.55,1,294,213.8950684931507
7,8,1740.84,5,5,4,554,Champions,217.605,8,358,1707.4540273972602
15,8,6382.29,4,5,5,455,Champions,797.78625,8,350,6120.004109589041
292,1,603.42,1,1,3,113,Lost,603.42,1,73,120.684
30,10,2442.91,4,5,5,455,Champions,244.291,10,335,2242.1228767123284
15,15,9400.52,4,5,5,455,Champions,626.7013333333333,15,350,9014.197260273973
97,3,1023.02,2,3,4,234,At Risk,341.00666666666666,3,268,751.1489315068493
29,13,3928.13,4,5,5,455,Champions,302.1638461538462,13,336,3616.032
1,1,794.55,5,1,3,513,Potential Loyalists,794.55,1,364,792.3731506849315
9,5,4294.86,5,4,5,545,Champions,858.972,5,356,4188.959342465753
106,1,263.36,2,1,2,212,Lost,263.36,1,259,186.8773698630137
4,2,963.49,5,2,4,524,Potential Loyalists,481.745,2,361,952.9312054794522
151,2,830.98,2,2,3,223,Lost,415.49,2,214,487.2047123287672
71,1,202.25,3,1,1,311,Need Attention,202.25,1,294,162.9082191780822
5,2,572.95,5,2,3,523,Potential Loyalists,286.475,2,360,565.1013698630137
3,25,5115.73,5,5,5,555,Champions,204.62919999999997,25,362,5073.682904109589
32,6,2386.13,4,5,5,455,Champions,397.68833333333333,6,333,2176.9350410958905
85,4,979.63,2,4,4,244,Loyal Customers,244.9075,4,280,751.4969863013698
4,5,707.07,5,4,3,543,Champions,141.41400000000002,5,361,699.321287671233
5,4,923.41,5,4,4,544,Champions,230.8525,4,360,910.7605479452054
371,1,371.8,1,1,2,112,Lost,371.8,1,-6,-6.111780821917808
28,7,2411.1,4,5,5,455,Champions,344.4428571428571,7,337,2226.138904109589
11,7,3440.7000000000003,5,5,5,555,Champions,491.52857142857147,7,354,3337.007671232877
71,4,728.33,3,4,3,343,Loyal Customers,182.0825,4,294,586.6548493150685
114,1,417.01,2,1,2,212,Lost,417.01,1,251,286.76578082191776
24,12,18751.91,4,5,5,455,Champions,1562.6591666666666,12,341,17518.907698630137
180,1,218.26,1,1,1,111,Lost,218.26,1,185,110.62493150684932
234,1,383.95,1,1,2,112,Lost,383.95,1,131,137.80123287671233
353,1,110.4,1,1,1,111,Lost,110.4,1,12,3.6295890410958904
315,2,689.5699999999999,1,2,3,123,Lost,344.78499999999997,2,50,94.46164383561643
333,1,144.0,1,1,1,111,Lost,144.0,1,32,12.624657534246575
372,1,137.35,1,1,1,111,Lost,137.35,1,-7,-2.634109589041096
99,1,975.54,2,1,4,214,Lost,975.54,1,266,710.9414794520548
64,1,427.6,3,1,2,312,Need Attention,427.6,1,301,352.62356164383567
134,2,540.13,2,2,3,223,Lost,270.065,2,231,341.83569863013696
56,4,9120.39,3,4,5,345,Loyal Customers,2280.0975,4,309,7721.097287671232
2,11,4196.01,5,5,5,555,Champions,381.4554545454546,11,363,4173.018164383562
1,206,31650.78,5,5,5,555,Champions,153.6445631067961,206,364,31564.065534246576
4,5,4040.88,5,4,5,545,Champions,808.176,5,361,3996.596383561644
129,1,275.88,2,1,2,212,Lost,275.88,1,236,178.37720547945204
81,1,4366.78,2,1,5,215,Lost,4366.78,1,284,3397.7137534246576
23,6,21429.39,4,5,5,455,Champions,3571.565,6,342,20079.04487671233
236,3,3010.74,1,3,5,135,At Risk,1003.5799999999999,3,129,1064.0697534246574
281,2,3811.95,1,2,5,125,Lost,1905.975,2,84,877.2706849315068
87,1,112.08,2,1,1,211,Lost,112.08,1,278,85.3650410958904
16,9,4176.75,4,5,5,455,Champions,464.0833333333333,9,349,3993.659589041096
117,2,2791.59,2,2,5,225,Lost,1395.795,2,248,1896.7515616438357
52,3,1411.44,3,3,4,334,Need Attention,470.48,3,313,1210.3581369863014
8,2,1702.52,5,2,4,524,Potential Loyalists,851.26,2,357,1665.2044931506848
138,2,494.08,2,2,3,223,Lost,247.04,2,227,307.2771506849315
317,1,1693.88,1,1,4,114,Lost,1693.88,1,48,222.75682191780822
4,7,6457.63,5,5,5,555,Champions,922.5185714285715,7,361,6386.861452054795
239,1,1143.6,1,1,4,114,Lost,1143.6,1,126,394.77698630136985
211,1,1351.45,1,1,4,114,Lost,1351.45,1,154,570.2008219178082
60,1,752.47,3,1,3,313,Need Attention,752.47,1,305,628.7763013698631
17,5,1281.04,4,4,4,444,Champions,256.20799999999997,5,348,1221.3751232876712
20,6,693.23,4,5,3,453,Champions,115.53833333333334,6,345,655.244794520548
38,8,3981.36,3,5,5,355,Loyal Customers,497.67,8,327,3566.8622465753424
64,2,786.74,3,2,3,323,Need Attention,393.37,2,301,648.7910684931508
5,5,1938.92,5,4,4,544,Champions,387.784,5,360,1912.3594520547945
2,4,1295.87,5,4,4,544,Champions,323.9675,4,363,1288.7693424657534
