Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
9,8,3945.7200000000003,5,5,5,555,Champions
1,3,1172.66,5,3,4,534,Need Attention
82,3,330.71000000000004,2,3,2,232,At Risk
9,6,1645.48,5,5,4,554,Champions
60,4,1500.28,3,4,4,344,Loyal Customers
15,1,125.22,4,1,1,411,Potential Loyalists
30,1,313.83000000000004,4,1,2,412,Potential Loyalists
131,1,981.18,2,1,4,214,Lost
92,2,716.35,2,2,3,223,Lost
59,1,4279.71,3,1,5,315,Need Attention
29,1,363.95,4,1,2,412,Potential Loyalists
22,4,5568.35,4,4,5,445,Champions
20,17,11580.24,4,5,5,455,Champions
30,3,841.18,4,3,3,433,Need Attention
36,1,316.7,3,1,2,312,Need Attention
75,2,832.39,2,2,3,223,Lost
47,2,1021.5,3,2,4,324,Need Attention
198,2,151.8,1,2,1,121,Lost
166,1,67.19999999999999,2,1,1,211,Lost
79,1,824.83,2,1,3,213,Lost
358,1,168.0,1,1,1,111,Lost
40,1,317.82,3,1,2,312,Need Attention
8,10,3278.28,5,5,5,555,Champions
50,2,599.56,3,2,3,323,Need Attention
16,5,11990.960000000001,4,4,5,445,Champions
8,1,269.96,5,1,2,512,Potential Loyalists
311,2,525.71,1,2,3,123,Lost
5,2,1918.01,5,2,4,524,Potential Loyalists
303,1,238.85,1,1,1,111,Lost
8,7,3385.7400000000002,5,5,5,555,Champions
261,1,402.90000000000003,1,1,2,112,Lost
289,1,145.92000000000002,1,1,1,111,Lost
86,1,297.65,2,1,2,212,Lost
23,10,8609.28,4,5,5,455,Champions
2,32,3152.69,5,5,5,555,Champions
40,2,519.61,3,2,3,323,Need Attention
9,2,912.4200000000001,5,2,3,523,Potential Loyalists
227,1,160.54000000000002,1,1,1,111,Lost
316,1,182.45000000000002,1,1,1,111,Lost
36,5,1315.83,3,4,4,344,Loyal Customers
35,3,622.65,3,3,3,333,Need Attention
21,2,2402.51,4,2,5,425,Potential Loyalists
78,1,386.42,2,1,2,212,Lost
247,1,379.7,1,1,2,112,Lost
40,1,179.71,3,1,1,311,Need Attention
239,2,351.36,1,2,2,122,Lost
3,15,6705.38,5,5,5,555,Champions
4,9,2254.15,5,5,5,555,Champions
234,2,1824.1,1,2,4,124,Lost
17,1,196.94000000000003,4,1,1,411,Potential Loyalists
8,1,104.0,5,1,1,511,Potential Loyalists
39,1,174.89999999999998,3,1,1,311,Need Attention
29,2,574.68,4,2,3,423,Potential Loyalists
211,1,9341.26,1,1,5,115,Lost
317,1,368.85,1,1,2,112,Lost
92,2,401.6,2,2,2,222,Lost
109,3,382.1,2,3,2,232,At Risk
38,9,3208.2200000000003,3,5,5,355,Loyal Customers
51,2,450.27,3,2,2,322,Need Attention
19,4,3195.22,4,4,5,445,Champions
10,7,2807.08,5,5,5,555,Champions
29,7,888.58,4,5,3,453,Champions
29,10,2311.04,4,5,5,455,Champions
190,5,487.06,1,4,3,143,Loyal Customers
59,1,153.12,3,1,1,311,Need Attention
22,1,613.1999999999999,4,1,3,413,Potential Loyalists
79,2,236.18,2,2,1,221,Lost
60,1,1579.51,3,1,4,314,Need Attention
78,3,964.85,2,3,4,234,At Risk
23,4,1747.54,4,4,4,444,Champions
52,1,1193.32,3,1,4,314,Need Attention
74,1,668.04,2,1,3,213,Lost
57,4,3092.38,3,4,5,345,Loyal Customers
278,1,315.6,1,1,2,112,Lost
2,4,2093.19,5,4,5,545,Champions
95,2,641.3,2,2,3,223,Lost
29,1,352.98,4,1,2,412,Potential Loyalists
22,1,137.31,4,1,1,411,Potential Loyalists
16,8,2945.56,4,5,5,455,Champions
15,3,1303.41,4,3,4,434,Need Attention
2,20,12411.67,5,5,5,555,Champions
232,1,162.1,1,1,1,111,Lost
276,1,269.1,1,1,2,112,Lost
106,2,569.13,2,2,3,223,Lost
212,2,2413.82,1,2,5,125,Lost
23,9,5954.4800000000005,4,5,5,455,Champions
11,6,4082.53,5,5,5,555,Champions
4,3,732.46,5,3,3,533,Need Attention
10,2,1030.88,5,2,4,524,Potential Loyalists
57,1,480.5,3,1,2,312,Need Attention
59,4,1929.98,3,4,4,344,Loyal Customers
90,2,1509.18,2,2,4,224,Lost
67,8,5804.9,3,5,5,355,Loyal Customers
33,1,511.69,4,1,3,413,Potential Loyalists
239,1,366.1,1,1,2,112,Lost
24,3,994.58,4,3,4,434,Need Attention
115,1,145.9,2,1,1,211,Lost
25,3,905.26,4,3,3,433,Need Attention
128,6,3041.64,2,5,5,255,Loyal Customers
130,1,477.90999999999997,2,1,2,212,Lost
34,4,1631.18,3,4,4,344,Loyal Customers
5,2,1346.97,5,2,4,524,Potential Loyalists
22,12,3146.82,4,5,5,455,Champions
155,1,300.05,2,1,2,212,Lost
107,3,569.51,2,3,3,233,At Risk
3,1,242.44,5,1,1,511,Potential Loyalists
335,1,114.0,1,1,1,111,Lost
331,1,793.98,1,1,3,113,Lost
149,2,2209.85,2,2,5,225,Lost
11,5,529.98,5,4,3,543,Champions
17,5,3619.17,4,4,5,445,Champions
11,4,1427.18,5,4,4,544,Champions
19,1,632.05,4,1,3,413,Potential Loyalists
30,1,73.67999999999999,4,1,1,411,Potential Loyalists
11,1,227.10000000000002,5,1,1,511,Potential Loyalists
1,11,3543.78,5,5,5,555,Champions
8,9,4391.88,5,5,5,555,Champions
325,1,45.0,1,1,1,111,Lost
58,1,460.13,3,1,2,312,Need Attention
12,4,3177.15,5,4,5,545,Champions
151,2,1427.73,2,2,4,224,Lost
10,5,2744.05,5,4,5,545,Champions
330,1,225.9,1,1,1,111,Lost
5,2,574.52,5,2,3,523,Potential Loyalists
39,4,1844.6,3,4,4,344,Loyal Customers
25,6,1091.39,4,5,4,454,Champions
42,9,16331.46,3,5,5,355,Loyal Customers
59,4,951.02,3,4,4,344,Loyal Customers
1,4,790.81,5,4,3,543,Champions
15,22,12365.54,4,5,5,455,Champions
4,31,11019.82,5,5,5,555,Champions
4,14,7612.57,5,5,5,555,Champions
8,6,2073.63,5,5,5,555,Champions
28,6,2575.08,4,5,5,455,Champions
372,1,71.14,1,1,1,111,Lost
114,1,4873.81,2,1,5,215,Lost
26,2,1139.6100000000001,4,2,4,424,Potential Loyalists
206,1,335.01,1,1,2,112,Lost
28,5,927.8,4,4,4,444,Champions
127,4,711.91,2,4,3,243,Loyal Customers
70,2,761.67,3,2,3,323,Need Attention
7,4,582.1,5,4,3,543,Champions
29,3,757.59,4,3,3,433,Need Attention
8,4,4525.99,5,4,5,545,Champions
80,2,725.71,2,2,3,223,Lost
20,1,201.0,4,1,1,411,Potential Loyalists
71,1,265.55,3,1,2,312,Need Attention
7,8,1740.84,5,5,4,554,Champions
15,8,6382.29,4,5,5,455,Champions
292,1,603.42,1,1,3,113,Lost
30,10,2442.91,4,5,5,455,Champions
15,15,9400.52,4,5,5,455,Champions
97,3,1023.02,2,3,4,234,At Risk
29,13,3928.13,4,5,5,455,Champions
1,1,794.55,5,1,3,513,Potential Loyalists
9,5,4294.86,5,4,5,545,Champions
106,1,263.36,2,1,2,212,Lost
4,2,963.49,5,2,4,524,Potential Loyalists
151,2,830.98,2,2,3,223,Lost
71,1,202.25,3,1,1,311,Need Attention
5,2,572.95,5,2,3,523,Potential Loyalists
3,25,5115.73,5,5,5,555,Champions
32,6,2386.13,4,5,5,455,Champions
85,4,979.63,2,4,4,244,Loyal Customers
4,5,707.07,5,4,3,543,Champions
5,4,923.41,5,4,4,544,Champions
371,1,371.8,1,1,2,112,Lost
28,7,2411.1,4,5,5,455,Champions
11,7,3440.7000000000003,5,5,5,555,Champions
71,4,728.33,3,4,3,343,Loyal Customers
114,1,417.01,2,1,2,212,Lost
24,12,18751.91,4,5,5,455,Champions
180,1,218.26000000000002,1,1,1,111,Lost
234,1,383.95,1,1,2,112,Lost
353,1,110.39999999999999,1,1,1,111,Lost
315,2,689.5699999999999,1,2,3,123,Lost
333,1,144.0,1,1,1,111,Lost
372,1,137.35,1,1,1,111,Lost
99,1,975.54,2,1,4,214,Lost
64,1,427.6,3,1,2,312,Need Attention
134,2,540.13,2,2,3,223,Lost
56,4,9120.39,3,4,5,345,Loyal Customers
2,11,4196.01,5,5,5,555,Champions
1,206,31650.78,5,5,5,555,Champions
4,5,4040.88,5,4,5,545,Champions
129,1,275.88,2,1,2,212,Lost
81,1,4366.78,2,1,5,215,Lost
23,6,21429.39,4,5,5,455,Champions
236,3,3010.74,1,3,5,135,At Risk
281,2,3811.9500000000003,1,2,5,125,Lost
87,1,112.08,2,1,1,211,Lost
16,9,4176.75,4,5,5,455,Champions
117,2,2791.59,2,2,5,225,Lost
52,3,1411.44,3,3,4,334,Need Attention
8,2,1702.52,5,2,4,524,Potential Loyalists
138,2,494.08,2,2,3,223,Lost
317,1,1693.88,1,1,4,114,Lost
4,7,6457.63,5,5,5,555,Champions
239,1,1143.6,1,1,4,114,Lost
211,1,1351.45,1,1,4,114,Lost
60,1,752.47,3,1,3,313,Need Attention
17,5,1281.04,4,4,4,444,Champions
20,6,693.23,4,5,3,453,Champions
38,8,3981.36,3,5,5,355,Loyal Customers
64,2,786.74,3,2,3,323,Need Attention
5,5,1938.92,5,4,4,544,Champions
2,4,1295.8700000000001,5,4,4,544,Champions
15,1,476.82,4,1,2,412,Potential Loyalists
364,1,255.95,1,1,2,112,Lost
10,3,418.66,5,3,2,532,Need Attention
65,1,76.85,3,1,1,311,Need Attention
192,1,294.92,1,1,2,112,Lost
374,1,177.60000000000002,1,1,1,111,Lost
257,1,344.54,1,1,2,112,Lost
335,2,461.48,1,2,2,122,Lost
53,2,860.41,3,2,3,323,Need Attention
19,1,318.48,4,1,2,412,Potential Loyalists
366,1,226.03,1,1,1,111,Lost
10,3,6977.04,5,3,5,535,Need Attention
187,1,397.58,1,1,2,112,Lost
37,3,455.65000000000003,3,3,2,332,Need Attention
178,1,405.31,2,1,2,212,Lost
262,2,458.85,1,2,2,122,Lost
45,1,229.64000000000001,3,1,1,311,Need Attention
102,1,85.92,2,1,1,211,Lost
148,2,863.46,2,2,3,223,Lost
96,2,452.2,2,2,2,222,Lost
281,1,126.04,1,1,1,111,Lost
262,1,1182.0800000000002,1,1,4,114,Lost
3,4,942.34,5,4,4,544,Champions
214,1,92.72,1,1,1,111,Lost
71,2,948.88,3,2,4,324,Need Attention
75,5,1759.5,2,4,4,244,Loyal Customers
60,1,397.12,3,1,2,312,Need Attention
3,7,1474.72,5,5,4,554,Champions
6,3,430.15,5,3,2,532,Need Attention
3,6,1018.71,5,5,4,554,Champions
337,2,293.0,1,2,2,122,Lost
38,6,6814.64,3,5,5,355,Loyal Customers
262,1,215.05,1,1,1,111,Lost
32,2,383.03000000000003,4,2,2,422,Potential Loyalists
145,1,417.38,2,1,2,212,Lost
283,1,312.38,1,1,2,112,Lost
59,4,2610.36,3,4,5,345,Loyal Customers
173,1,134.1,2,1,1,211,Lost
34,2,671.95,3,2,3,323,Need Attention
3,14,5591.42,5,5,5,555,Champions
144,4,2726.77,2,4,5,245,Loyal Customers
5,25,3991.58,5,5,5,555,Champions
70,2,1118.99,3,2,4,324,Need Attention
66,8,1702.26,3,5,4,354,Loyal Customers
29,2,325.96000000000004,4,2,2,422,Potential Loyalists
267,4,354.09000000000003,1,4,2,142,Loyal Customers
22,1,843.64,4,1,3,413,Potential Loyalists
31,2,992.65,4,2,4,424,Potential Loyalists
97,1,131.81,2,1,1,211,Lost
295,1,311.55,1,1,2,112,Lost
135,6,1957.1000000000001,2,5,4,254,Loyal Customers
79,3,1316.25,2,3,4,234,At Risk
373,1,38.1,1,1,1,111,Lost
8,6,2170.78,5,5,5,555,Champions
211,2,1106.4,1,2,4,124,Lost
52,1,521.2,3,1,3,313,Need Attention
138,1,147.12,2,1,1,211,Lost
26,2,1568.23,4,2,4,424,Potential Loyalists
283,1,499.12,1,1,3,113,Lost
26,7,4009.34,4,5,5,455,Champions
186,6,1607.0600000000002,1,5,4,154,Loyal Customers
84,2,380.64,2,2,2,222,Lost
327,2,599.97,1,2,3,123,Lost
282,1,374.0,1,1,2,112,Lost
143,2,343.2300000000001,2,2,2,222,Lost
58,2,2053.02,3,2,5,325,Need Attention
4,12,1535.77,5,5,4,554,Champions
236,2,854.99,1,2,3,123,Lost
45,3,573.22,3,3,3,333,Need Attention
276,1,298.0,1,1,2,112,Lost
9,2,1463.04,5,2,4,524,Potential Loyalists
25,4,703.47,4,4,3,443,Champions
88,1,309.05,2,1,2,212,Lost
63,3,1175.22,3,3,4,334,Need Attention
68,2,1378.4,3,2,4,324,Need Attention
214,2,354.12,1,2,2,122,Lost
24,1,376.71999999999997,4,1,2,412,Potential Loyalists
186,3,331.0,1,3,2,132,At Risk
31,1,176.55,4,1,1,411,Potential Loyalists
42,2,372.8,3,2,2,322,Need Attention
205,2,216.5,1,2,1,121,Lost
9,28,17654.54,5,5,5,555,Champions
265,1,138.68,1,1,1,111,Lost
18,2,496.06,4,2,3,423,Potential Loyalists
12,5,2919.81,5,4,5,545,Champions
176,2,750.0,2,2,3,223,Lost
40,5,2178.67,3,4,5,345,Loyal Customers
23,8,3075.04,4,5,5,455,Champions
3,5,1662.3,5,4,4,544,Champions
5,5,2483.63,5,4,5,545,Champions
149,2,363.65,2,2,2,222,Lost
139,4,2944.95,2,4,5,245,Loyal Customers
128,1,594.0,2,1,3,213,Lost
8,6,1335.19,5,5,4,554,Champions
17,1,162.78,4,1,1,411,Potential Loyalists
9,37,16587.09,5,5,5,555,Champions
161,1,405.38,2,1,2,212,Lost
64,1,171.57,3,1,1,311,Need Attention
88,4,925.75,2,4,4,244,Loyal Customers
5,2,694.05,5,2,3,523,Potential Loyalists
35,5,2062.7,3,4,5,345,Loyal Customers
312,1,117.85,1,1,1,111,Lost
78,2,415.8,2,2,2,222,Lost
22,15,42055.96,4,5,5,455,Champions
24,3,607.53,4,3,3,433,Need Attention
2,7,2160.7,5,5,5,555,Champions
17,4,1063.9,4,4,4,444,Champions
15,4,1504.27,4,4,4,444,Champions
26,1,114.14,4,1,1,411,Potential Loyalists
64,8,11581.8,3,5,5,355,Loyal Customers
55,2,899.69,3,2,3,323,Need Attention
131,3,675.6,2,3,3,233,At Risk
36,2,604.51,3,2,3,323,Need Attention
288,1,462.95,1,1,2,112,Lost
144,6,1603.99,2,5,4,254,Loyal Customers
16,7,2064.95,4,5,5,455,Champions
31,8,4167.22,4,5,5,455,Champions
2,3,1843.0,5,3,4,534,Need Attention
9,6,1064.07,5,5,4,554,Champions
6,4,1387.79,5,4,4,544,Champions
10,1,329.85,5,1,2,512,Potential Loyalists
1,11,4757.16,5,5,5,555,Champions
306,1,108.07,1,1,1,111,Lost
10,8,4017.54,5,5,5,555,Champions
7,2,266.39,5,2,2,522,Potential Loyalists
8,8,1856.63,5,5,4,554,Champions
89,1,769.8100000000001,2,1,3,213,Lost
10,1,160.18,5,1,1,511,Potential Loyalists
358,2,1660.9,1,2,4,124,Lost
112,1,135.95,2,1,1,211,Lost
7,4,405.47,5,4,2,542,Champions
4,86,11189.91,5,5,5,555,Champions
198,1,144.8,1,1,1,111,Lost
212,1,738.6,1,1,3,113,Lost
156,1,39.239999999999995,2,1,1,211,Lost
158,9,7374.900000000001,2,5,5,255,Loyal Customers
30,2,372.21999999999997,4,2,2,422,Potential Loyalists
243,1,390.54,1,1,2,112,Lost
19,1,97.5,4,1,1,411,Potential Loyalists
1,2,1239.38,5,2,4,524,Potential Loyalists
74,2,558.7,2,2,3,223,Lost
292,1,505.82,1,1,3,113,Lost
3,15,6924.11,5,5,5,555,Champions
31,3,409.5,4,3,2,432,Need Attention
23,2,503.76,4,2,3,423,Potential Loyalists
23,4,414.76,4,4,2,442,Champions
4,3,974.42,5,3,4,534,Need Attention
85,1,211.32,2,1,1,211,Lost
22,4,1226.89,4,4,4,444,Champions
196,3,455.88,1,3,2,132,At Risk
107,3,534.85,2,3,3,233,At Risk
4,13,9785.970000000001,5,5,5,555,Champions
318,1,120.95,1,1,1,111,Lost
106,3,149.05,2,3,1,231,At Risk
12,18,5655.91,5,5,5,555,Champions
174,2,513.7,2,2,3,223,Lost
56,1,81.57,3,1,1,311,Need Attention
323,1,229.47,1,1,1,111,Lost
372,1,50.550000000000004,1,1,1,111,Lost
9,8,1646.8400000000001,5,5,4,554,Champions
1,13,4810.9400000000005,5,5,5,555,Champions
11,10,3466.28,5,5,5,555,Champions
53,5,3339.64,3,4,5,345,Loyal Customers
73,3,789.89,2,3,3,233,At Risk
7,1,204.0,5,1,1,511,Potential Loyalists
16,28,7277.7,4,5,5,455,Champions
4,9,2616.38,5,5,5,555,Champions
64,2,599.9,3,2,3,323,Need Attention
1,5,975.36,5,4,4,544,Champions
114,6,6912.0,2,5,5,255,Loyal Customers
23,2,661.3199999999999,4,2,3,423,Potential Loyalists
31,3,1247.5,4,3,4,434,Need Attention
11,2,752.44,5,2,3,523,Potential Loyalists
52,2,1010.1800000000001,3,2,4,324,Need Attention
357,1,190.55,1,1,1,111,Lost
55,2,642.77,3,2,3,323,Need Attention
74,2,921.88,2,2,3,223,Lost
138,3,881.07,2,3,3,233,At Risk
80,3,908.46,2,3,3,233,At Risk
9,2,676.99,5,2,3,523,Potential Loyalists
273,1,516.42,1,1,3,113,Lost
291,1,560.47,1,1,3,113,Lost
99,1,305.28000000000003,2,1,2,212,Lost
31,2,629.31,4,2,3,423,Potential Loyalists
57,9,3232.59,3,5,5,355,Loyal Customers
14,4,1819.41,5,4,4,544,Champions
64,2,656.6800000000001,3,2,3,323,Need Attention
15,17,5833.11,4,5,5,455,Champions
212,1,348.15000000000003,1,1,2,112,Lost
78,3,1214.41,2,3,4,234,At Risk
25,3,271.40000000000003,4,3,2,432,Need Attention
250,1,183.4,1,1,1,111,Lost
254,1,307.53000000000003,1,1,2,112,Lost
72,1,248.61,3,1,2,312,Need Attention
191,1,346.98,1,1,2,112,Lost
13,4,1105.59,5,4,4,544,Champions
373,1,205.86,1,1,1,111,Lost
24,2,470.8,4,2,2,422,Potential Loyalists
82,1,115.46000000000001,2,1,1,211,Lost
10,2,344.0,5,2,2,522,Potential Loyalists
1,24,4431.44,5,5,5,555,Champions
192,1,228.8,1,1,1,111,Lost
267,1,177.15,1,1,1,111,Lost
130,1,919.61,2,1,3,213,Lost
1,4,728.02,5,4,3,543,Champions
3,26,12627.94,5,5,5,555,Champions
4,5,220.10000000000002,5,4,1,541,Champions
179,1,58.08,2,1,1,211,Lost
12,11,28337.38,5,5,5,555,Champions
126,9,3613.63,2,5,5,255,Loyal Customers
4,2,303.75,5,2,2,522,Potential Loyalists
158,2,416.08,2,2,2,222,Lost
3,97,58762.08,5,5,5,555,Champions
9,13,8895.82,5,5,5,555,Champions
28,1,345.82,4,1,2,412,Potential Loyalists
71,5,477.83,3,4,2,342,Loyal Customers
276,8,7832.47,1,5,5,155,Loyal Customers
21,12,1927.3200000000002,4,5,4,454,Champions
71,1,74.39999999999999,3,1,1,311,Need Attention
33,10,6003.22,4,5,5,455,Champions
1,28,28882.44,5,5,5,555,Champions
99,1,207.36,2,1,1,211,Lost
234,1,101.19,1,1,1,111,Lost
1,24,6424.09,5,5,5,555,Champions
40,1,243.94,3,1,1,311,Need Attention
3,6,1098.48,5,5,4,554,Champions
133,1,76.5,2,1,1,211,Lost
44,4,1531.6200000000001,3,4,4,344,Loyal Customers
373,1,350.06,1,1,2,112,Lost
60,2,786.54,3,2,3,323,Need Attention
31,7,1488.67,4,5,4,454,Champions
1,24,12245.960000000001,5,5,5,555,Champions
12,4,2294.78,5,4,5,545,Champions
138,1,501.14,2,1,3,213,Lost
22,8,984.91,4,5,4,454,Champions
20,5,1197.81,4,4,4,444,Champions
239,1,30.6,1,1,1,111,Lost
269,1,283.73,1,1,2,112,Lost
94,2,922.39,2,2,4,224,Lost
90,3,3756.33,2,3,5,235,At Risk
5,8,2099.64,5,5,5,555,Champions
78,1,259.17,2,1,2,212,Lost
94,1,64.0,2,1,1,211,Lost
23,3,1073.3,4,3,4,434,Need Attention
262,1,77.3,1,1,1,111,Lost
274,2,109.8,1,2,1,121,Lost
86,4,1793.58,2,4,4,244,Loyal Customers
197,1,3096.0,1,1,5,115,Lost
56,5,2607.61,3,4,5,345,Loyal Customers
11,8,3603.29,5,5,5,555,Champions
22,6,962.39,4,5,4,454,Champions
16,7,5064.9400000000005,4,5,5,455,Champions
108,3,422.47,2,3,2,232,At Risk
85,5,2388.75,2,4,5,245,Loyal Customers
19,1,307.09000000000003,4,1,2,412,Potential Loyalists
333,1,110.95,1,1,1,111,Lost
40,4,618.52,3,4,3,343,Loyal Customers
26,1,228.91,4,1,1,411,Potential Loyalists
10,4,712.8,5,4,3,543,Champions
29,12,3683.26,4,5,5,455,Champions
14,4,1676.06,5,4,4,544,Champions
296,1,1257.8700000000001,1,1,4,114,Lost
6,1,486.22,5,1,3,513,Potential Loyalists
33,4,971.76,4,4,4,444,Champions
49,4,1741.22,3,4,4,344,Loyal Customers
95,4,1201.06,2,4,4,244,Loyal Customers
9,4,1429.35,5,4,4,544,Champions
22,1,91.8,4,1,1,411,Potential Loyalists
313,1,112.75,1,1,1,111,Lost
122,4,1688.29,2,4,4,244,Loyal Customers
46,2,1021.48,3,2,4,324,Need Attention
283,1,417.2,1,1,2,112,Lost
19,4,779.33,4,4,3,443,Champions
